=== SHEET: background lists ===
COMPLETE	√	YES	X		1)	Yes	Phase	Description	Phase + Description		Description2	Phase + Description	Phase
					114)						SOMD Subcontractor	03-4300-10000- - (SOMD Subcontractor)	03-4300-10000-
					115)						Stained Concrete	03-4350-10000- - (Stained Concrete)	03-4350-10000-
											Sealed Concrete	03-4355-10000- - (Sealed Concrete)	03-4355-10000-
											Shored CIP Deck Subcontract	03-4400-10000- - (Shored CIP Deck Subcontract)	03-4400-10000-
											Pit Slabs Subcontract	03-4500-10000- - (Pit Slabs Subcontract)	03-4500-10000-
											Conc Topping Subcontractor	03-4600-10000- - (Conc Topping Subcontractor)	03-4600-10000-
											Lightweight Concrete Subcontrc	03-4700-10000- - (Lightweight Concrete Subcontrc)	03-4700-10000-
											Gypsum topping Subcontract	03-4800-10000- - (Gypsum topping Subcontract)	03-4800-10000-
											Round Column Subcontract	03-5100-10000- - (Round Column Subcontract)	03-5100-10000-
											Squared Column Subcontract	03-5200-10000- - (Squared Column Subcontract)	03-5200-10000-
											Stairs on Grade Subcontract	03-5600-10000- - (Stairs on Grade Subcontract)	03-5600-10000-
											Shored CIP Stairs Subcontract	03-5700-10000- - (Shored CIP Stairs Subcontract)	03-5700-10000-
											Ramps on Grade Subcontract	03-6100-10000- - (Ramps on Grade Subcontract)	03-6100-10000-
											Shored CIP Ramps Subcontract	03-6200-10000- - (Shored CIP Ramps Subcontract)	03-6200-10000-
											Tilt Walls	03-7100-10000- - (Tilt Walls)	03-7100-10000-
											Rebar Tie - Wall Panel	03-7101-10000- - (Rebar Tie - Wall Panel)	03-7101-10000-
											Rebar Tie - Wall Panel	03-7101-90000- - (Rebar Tie - Wall Panel)	03-7101-90000-
											Form Labor - Wall Panel	03-7102-10000- - (Form Labor - Wall Panel)	03-7102-10000-
											Form Labor - Wall Panel	03-7102-90000- - (Form Labor - Wall Panel)	03-7102-90000-
											Dirt Work - Wall Panel	03-7103-10000- - (Dirt Work - Wall Panel)	03-7103-10000-
											Dirt Work - Wall Panel	03-7103-90000- - (Dirt Work - Wall Panel)	03-7103-90000-
											Place & Finish - Wall Panel	03-7104-10000- - (Place & Finish - Wall Panel)	03-7104-10000-
											Place & Finish - Wall Panel	03-7104-90000- - (Place & Finish - Wall Panel)	03-7104-90000-
											Grout Joints - Wall Panel	03-7105-10000- - (Grout Joints - Wall Panel)	03-7105-10000-
											Grout Joints - Wall Panel	03-7105-90000- - (Grout Joints - Wall Panel)	03-7105-90000-
											Casting Beds	03-7150-10000- - (Casting Beds)	03-7150-10000-
											Rebar Tie - Casting Bed	03-7151-10000- - (Rebar Tie - Casting Bed)	03-7151-10000-
											Rebar Tie - Casting Bed	03-7151-90000- - (Rebar Tie - Casting Bed)	03-7151-90000-
											Form Labor - Casting Bed	03-7152-10000- - (Form Labor - Casting Bed)	03-7152-10000-
											Form Labor - Casting Bed	03-7152-90000- - (Form Labor - Casting Bed)	03-7152-90000-
											Dirt Work - Casting Bed	03-7153-10000- - (Dirt Work - Casting Bed)	03-7153-10000-
											Dirt Work - Casting Bed	03-7153-90000- - (Dirt Work - Casting Bed)	03-7153-90000-
											Place & Finish - Casting Bed	03-7154-10000- - (Place & Finish - Casting Bed)	03-7154-10000-
											Place & Finish - Casting Bed	03-7154-90000- - (Place & Finish - Casting Bed)	03-7154-90000-
											Tilt Floor/Roof Subcontractor	03-7200-10000- - (Tilt Floor/Roof Subcontractor)	03-7200-10000-
											Concrete Repair to Exist Cond	03-8600-10000- - (Concrete Repair to Exist Cond)	03-8600-10000-
											Structural Precast	03-8700-10000- - (Structural Precast)	03-8700-10000-
											Architectural Precast	03-8800-10000- - (Architectural Precast)	03-8800-10000-
											Sealer/Hardener	03-8900-10000- - (Sealer/Hardener)	03-8900-10000-
											Brick Sealer	04-0100-10000- - (Brick Sealer)	04-0100-10000-
											Masonry Rebar	04-0290-10000- - (Masonry Rebar)	04-0290-10000-
											Mas. Exp. Jts. / Covers	04-0550-10000- - (Mas. Exp. Jts. / Covers)	04-0550-10000-
											Wall Bracing	04-0580-10000- - (Wall Bracing)	04-0580-10000-
											Structural Masonry	04-1000-10000- - (Structural Masonry)	04-1000-10000-
											Conc. Mas. Unit	04-2000-10000- - (Conc. Mas. Unit)	04-2000-10000-
											Masonry (Self Perform)	04-2000-90000- - (Masonry (Self Perform))	04-2000-90000-
											Sandblasting (Exist)	04-5210-10000- - (Sandblasting (Exist))	04-5210-10000-
											Drypacking	04-6000-10000- - (Drypacking)	04-6000-10000-
											Set HM Frames	04-8000-10000- - (Set HM Frames)	04-8000-10000-
											Shoring / Bracing	04-8100-10000- - (Shoring / Bracing)	04-8100-10000-
											Steel Package	05-1000-10000- - (Steel Package)	05-1000-10000-
											Steel Erection	05-1900-10000- - (Steel Erection)	05-1900-10000-
											Steel Joists	05-2000-10000- - (Steel Joists)	05-2000-10000-
											Metal Decking	05-3000-10000- - (Metal Decking)	05-3000-10000-
											Misc. Steel	05-5000-10000- - (Misc. Steel)	05-5000-10000-
											Trench Grates - Steel	05-5190-10000- - (Trench Grates - Steel)	05-5190-10000-
											Trench Covers	05-5200-10000- - (Trench Covers)	05-5200-10000-
											Mtl. Space Frame	05-5500-10000- - (Mtl. Space Frame)	05-5500-10000-
											Ornamental Metal	05-7000-10000- - (Ornamental Metal)	05-7000-10000-
											Alum. Handrails	05-7210-10000- - (Alum. Handrails)	05-7210-10000-
											Expansion Control	05-8000-10000- - (Expansion Control)	05-8000-10000-
											Exp. Jts. - Flr.	05-8010-10000- - (Exp. Jts. - Flr.)	05-8010-10000-
											Carpentry	06-0005-10000- - (Carpentry)	06-0005-10000-
											Carp. Scaffold	06-0010-10000- - (Carp. Scaffold)	06-0010-10000-
											Carp. Tool / Equip.	06-0020-10000- - (Carp. Tool / Equip.)	06-0020-10000-
											Carp. Hardware	06-0030-10000- - (Carp. Hardware)	06-0030-10000-
											Rough Carpentry	06-1000-10000- - (Rough Carpentry)	06-1000-10000-
											Rough Carpentry(SP)	06-1000-90000- - (Rough Carpentry(SP))	06-1000-90000-
											Layout Walls and Partitions	06-1010-10000- - (Layout Walls and Partitions)	06-1010-10000-
											Layout Walls and Partitions	06-1010-90000- - (Layout Walls and Partitions)	06-1010-90000-
											Frame/Set Walls	06-1020-10000- - (Frame/Set Walls)	06-1020-10000-
											Frame/Set Walls	06-1020-90000- - (Frame/Set Walls)	06-1020-90000-
											Floor Framing	06-1030-10000- - (Floor Framing)	06-1030-10000-
											Floor Framing	06-1030-90000- - (Floor Framing)	06-1030-90000-
											Roof Framing/Set Trusses	06-1040-10000- - (Roof Framing/Set Trusses)	06-1040-10000-
											Roof Framing/Set Trusses	06-1040-90000- - (Roof Framing/Set Trusses)	06-1040-90000-
											Frame Interior Drops/Soffits	06-1050-10000- - (Frame Interior Drops/Soffits)	06-1050-10000-
											Frame Interior Drops/Soffits	06-1050-90000- - (Frame Interior Drops/Soffits)	06-1050-90000-
											Frame Exterior Drops/Soffits	06-1055-10000- - (Frame Exterior Drops/Soffits)	06-1055-10000-
											Frame Exterior Drops/Soffits	06-1055-90000- - (Frame Exterior Drops/Soffits)	06-1055-90000-
											Frame Stairs	06-1060-10000- - (Frame Stairs)	06-1060-10000-
											Frame Stairs	06-1060-90000- - (Frame Stairs)	06-1060-90000-
											Blocking / Nailers	06-1070-10000- - (Blocking / Nailers)	06-1070-10000-
											Interior Backing/Blocking Labor	06-1072-10000- - (Interior Backing/Blocking Labor)	06-1072-10000-
											Interior Backing/Blocking Labor	06-1072-90000- - (Interior Backing/Blocking Labor)	06-1072-90000-
											Roof Blocking	06-1074-10000- - (Roof Blocking)	06-1074-10000-
											Roof Blocking	06-1074-90000- - (Roof Blocking)	06-1074-90000-
											Window/Door Blocking	06-1076-10000- - (Window/Door Blocking)	06-1076-10000-
											Window/Door Blocking	06-1076-90000- - (Window/Door Blocking)	06-1076-90000-
											Roof Sheathing	06-1080-10000- - (Roof Sheathing)	06-1080-10000-
											Roof Sheathing	06-1080-90000- - (Roof Sheathing)	06-1080-90000-
											Wall Sheathing	06-1082-10000- - (Wall Sheathing)	06-1082-10000-
											Wall Sheathing	06-1082-90000- - (Wall Sheathing)	06-1082-90000-
											Floor Sheathing	06-1084-10000- - (Floor Sheathing)	06-1084-10000-
											Floor Sheathing	06-1084-90000- - (Floor Sheathing)	06-1084-90000-
											Underlayment Labor	06-1090-10000- - (Underlayment Labor)	06-1090-10000-
											Underlayment Labor	06-1090-90000- - (Underlayment Labor)	06-1090-90000-
											Sub - Fascia	06-1100-10000- - (Sub - Fascia)	06-1100-10000-
											Wood Trusses	06-1350-10000- - (Wood Trusses)	06-1350-10000-
											Prefab Components	06-1360-10000- - (Prefab Components)	06-1360-10000-
											Finished Carpentry & Millwork	06-2000-10000- - (Finished Carpentry & Millwork)	06-2000-10000-
											Finished Carpentry & Millwork (SP)	06-2000-90000- - (Finished Carpentry & Millwork (SP))	06-2000-90000-
											Casework Shakeout & Sort	06-2001-10000- - (Casework Shakeout & Sort)	06-2001-10000-
